Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2020-05-01 18:43 (EDT),,,25,Cycling,,25 min 31 sec Just Ride,,184,124,45%,69,16.49,6.93,232,118.39,,
2020-05-01 19:19 (EDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-05-26 15:19 (EDT),,,,,,,64,,,
2020-05-02 10:02 (EDT),On Demand,Matt Wilpers,90,Cycling,Power Zone,90 min Power Zone Endurance Ride,2019-06-08 12:34 (EDT),754,140,42%,83,18.20,27.29,1041,131.84,,
2020-05-02 11:39 (EDT),On Demand,Emma Lovewell,5,Strength,Core,5 min Core Strength,2019-05-28 09:00 (EDT),,,,,,,33,,,
2020-05-05 16:43 (EDT),,,22,Cycling,,22 min 34 sec Just Ride,,81,60,36%,63,12.24,4.61,118,,,
2020-05-07 18:02 (EDT),,,19,Cycling,,19 min 58 sec Just Ride,,75,63,38%,58,11.73,3.91,109,,,
2020-05-16 17:07 (EDT),On Demand,Kristin McGee,5,Yoga,Yoga Anywhere,5 min Standing Yoga,2020-04-02 09:30 (EDT),,,,,,,27,,,
2020-05-24 21:07 (EDT),On Demand,Aditi Shah,5,Meditation,Mindfulness,5 min Body Scan Meditation,2020-05-12 11:00 (EDT),,,,,,,,,,
2020-06-01 07:46 (EDT),On Demand,Chelsea Jackson Roberts,5,Meditation,Mindfulness,5 min Body Scan Meditation,2020-05-27 10:00 (EDT),,,,,,,,,,
2020-06-01 10:01 (EDT),On Demand,Emma Lovewell,5,Strength,Core,5 min Core Strength,2019-03-19 15:38 (EDT),,,,,,,34,,,
2020-06-01 10:26 (EDT),On Demand,Denis Morton,10,Yoga,Yoga Flow,10 min Yoga Flow: Hips,2020-01-13 16:42 (EDT),,,,,,,48,,,
2020-06-02 10:40 (EDT),On Demand,Emma Lovewell,5,Strength,Core,5 min Core Strength,2019-05-27 09:00 (EDT),,,,,,,31,,,
2020-06-02 10:51 (EDT),On Demand,Kristin McGee,30,Yoga,Yoga Flow,30 min Slow Flow,2020-03-05 07:49 (EDT),,,,,,,139,,,
2020-06-03 11:56 (EDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-04-30 15:03 (EDT),,,,,,,64,,,
2020-06-03 12:09 (EDT),On Demand,Denis Morton,10,Yoga,Yoga Flow,10 min Yoga Flow: Hips,2020-01-13 16:42 (EDT),,,,,,,45,,,
2020-06-04 16:43 (EDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2018-10-05 12:56 (EDT),,,,,,,64,,,
2020-06-04 16:55 (EDT),On Demand,Denis Morton,10,Yoga,Yoga Flow,10 min Yoga Flow: Hips,2020-01-13 16:42 (EDT),,,,,,,46,,,
2020-06-05 23:49 (EDT),On Demand,Emma Lovewell,5,Strength,Core,5 min Core Strength,2019-05-28 09:00 (EDT),,,,,,,34,,,
2020-06-06 22:26 (EDT),On Demand,Denis Morton,10,Yoga,Yoga Flow,10 min Yoga Flow: Hips,2020-01-13 16:42 (EDT),,,,,,,48,,,
2020-06-07 22:26 (EDT),On Demand,Emma Lovewell,5,Stretching,Full Body Stretch,5 min Full Body Stretch,2019-05-28 09:00 (EDT),,,,,,,17,,,
2020-06-08 16:19 (EDT),On Demand,Olivia Amato,20,Cycling,Theme,20 min New Tracks Ride,2020-04-30 17:00 (EDT),107,89,41%,66,14.21,4.73,124,96.24,,
2020-06-08 17:58 (EDT),On Demand,Tunde Oyeneyin,30,Cycling,Theme,30 min Speak Up Ride ,2020-06-03 17:54 (EDT),233,130,45%,75,17.39,8.69,286,118.82,,
2020-06-09 12:52 (EDT),On Demand,Christine D'Ercole,30,Cycling,Power Zone,30 min Power Zone Ride,2020-06-03 16:20 (EDT),224,125,42%,75,16.43,8.21,318,125.62,,
2020-06-09 13:23 (EDT),On Demand,Alex Toussaint,5,Cycling,Theme,5 min Peloton All-Star Cool Down Ride,2020-05-30 13:00 (EDT),7,24,40%,25,5.95,0.49,31,97.83,,
2020-06-09 16:30 (EDT),Live,Olivia Amato,20,Cycling,Theme,20 min Pride Ride,2020-06-09 16:17 (EDT),111,93,46%,61,14.91,4.97,161,,,
2020-06-10 17:26 (EDT),,,36,Cycling,,36 min 7 sec Just Ride,,126,58,36%,63,12.37,7.44,183,,,
